chaves,pt_BR,en
PLAY,Começar,Start
TELACHEIA,Tela Cheia,FullScreen
RESOLUCAO,Resolução,Resolution
UMJOGADOR,Um Jogador,SinglePlayer
COOPERATIVO,Cooperativo,Coop
ThunderLord,Senhor do trovão,ThunderLord
ThunderLordDesc,Invoca raios ao seu redor,Cast Thunders arround you
Ninja,Ninja,Ninja
NinjaDesc,Cria uma Shuriken que roda ao seu redor,Create a Shurinken  arround you
LifePotion,Poção de Vida,Life Potion
LifePotionDesc,Recupera sua vida,Fill your life
FangNeckler,Colar de Presas,Fang Neckler
FangNecklerDesc,Aumenta seu dano base,Increase your basic damage
HarpyFeather,Pena de Harpia,Harpy Feather
HarpyFeatherDesc,Aumenta sua velocidade de movimento,Increase your move speed
EletricRing,Anel Elétrico,Eletric Ring
EletricRingDesc,Aumenta a velocidade do seu ataque base,Increase your attack speed
